# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.53491 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.721156358760e-01       1.549014211848e+03 
       2.753451999778e-01       1.522875613481e+03 
       2.785747650980e-01       1.496910449270e+03 
       2.818043312016e-01       1.471550173210e+03 
       2.850338982549e-01       1.447200985869e+03 
       2.882634662258e-01       1.424165684347e+03 
       2.914930350836e-01       1.402637073581e+03 
       2.947226047990e-01       1.382686219112e+03 
       2.979521753440e-01       1.364271249688e+03 
       3.011817466918e-01       1.347262953504e+03 
       3.044113188166e-01       1.331464333048e+03 
       3.076408916939e-01       1.316648095073e+03 
       3.108704653001e-01       1.302561807584e+03 
       3.141000396126e-01       1.288958316754e+03 
       3.173296146097e-01       1.275606874311e+03 
       3.205591902706e-01       1.262309515202e+03 
       3.237887665754e-01       1.248914845128e+03 
       3.270183435049e-01       1.235333302140e+03 
       3.302479210407e-01       1.221536546470e+03 
       3.334774991650e-01       1.207560892797e+03 
       3.367070778610e-01       1.193485816569e+03 
       3.399366571121e-01       1.179423781848e+03 
       3.431662369026e-01       1.165494025991e+03 
       3.463958172174e-01       1.151815772543e+03 
       3.496253980420e-01       1.138494706406e+03 
       3.528549793621e-01       1.125619166611e+03 
       3.560845611644e-01       1.113250951080e+03 
       3.593141434357e-01       1.101430253092e+03 
       3.625437261634e-01       1.090166803637e+03 
       3.657733093354e-01       1.079438581159e+03 
       3.690028929400e-01       1.069197979076e+03 
       3.722324769659e-01       1.059372380147e+03 
       3.754620614021e-01       1.049882080435e+03 
       3.786916462381e-01       1.040642509819e+03 
       3.819212314638e-01       1.031578730978e+03 
       3.851508170692e-01       1.022632850111e+03 
       3.883804030449e-01       1.013762179127e+03 
       3.916099893817e-01       1.004939335886e+03 
       3.948395760707e-01       9.961514275932e+02 
       3.980691631032e-01       9.873943051940e+02 
       4.012987504709e-01       9.786816984663e+02 
       4.045283381659e-01       9.700309871332e+02 
       4.077579261802e-01       9.614721213129e+02 
       4.109875145063e-01       9.530377780303e+02 
       4.142171031370e-01       9.447611616610e+02 
       4.174466920650e-01       9.366692867166e+02 
       4.206762812835e-01       9.287789920215e+02 
       4.239058707859e-01       9.211010052831e+02 
       4.271354605658e-01       9.136328774380e+02 
       4.303650506167e-01       9.063719229999e+02 
       4.335946409327e-01       8.993077144900e+02 
       4.368242315078e-01       8.924276608979e+02 
       4.400538223363e-01       8.857181159228e+02 
       4.432834134127e-01       8.791598059820e+02 
       4.465130047316e-01       8.727358477418e+02 
       4.497425962877e-01       8.664210460526e+02 
       4.529721880759e-01       8.601977441209e+02 
       4.562017800913e-01       8.540491391358e+02 
       4.594313723291e-01       8.479629540620e+02 
       4.626609647846e-01       8.419366694906e+02 
       4.658905574532e-01       8.359691723854e+02 
       4.691201503306e-01       8.300646952834e+02 
       4.723497434124e-01       8.242263260182e+02 
       4.755793366945e-01       8.184603172168e+02 
       4.788089301728e-01       8.127701218432e+02 
       4.820385238433e-01       8.071632889054e+02 
       4.852681177022e-01       8.016486814661e+02 
       4.884977117458e-01       7.962335036240e+02 
       4.917273059703e-01       7.909216322705e+02 
       4.949569003723e-01       7.857167261304e+02 
       4.981864949483e-01       7.806170300471e+02 
       5.014160896948e-01       7.756155891602e+02 
       5.046456846087e-01       7.707066226823e+02 
       5.078752796867e-01       7.658796252387e+02 
       5.111048749257e-01       7.611299806145e+02 
       5.143344703227e-01       7.564493198326e+02 
       5.175640658746e-01       7.518333671856e+02 
       5.207936615786e-01       7.472770315424e+02 
       5.240232574319e-01       7.427746139949e+02 
       5.272528534318e-01       7.383234808463e+02 
       5.304824495754e-01       7.339197784226e+02 
       5.337120458603e-01       7.295628034140e+02 
       5.369416422839e-01       7.252538712748e+02 
       5.401712388436e-01       7.209958800601e+02 
       5.434008355370e-01       7.167906970264e+02 
       5.466304323618e-01       7.126422796301e+02 
       5.498600293157e-01       7.085500509764e+02 
       5.530896263963e-01       7.045148490164e+02 
       5.563192236014e-01       7.005345952691e+02 
       5.595488209290e-01       6.966096425973e+02 
       5.627784183768e-01       6.927382205463e+02 
       5.660080159429e-01       6.889208220849e+02 
       5.692376136251e-01       6.851564685788e+02 
       5.966146836946e-01       6.550730663978e+02 
       6.275639394871e-01       6.243076053571e+02 
       6.633609294841e-01       5.925140072269e+02 
       7.060833127161e-01       5.588059291321e+02 
       7.593720182239e-01       5.219901751062e+02 
       8.301796462525e-01       4.799851221689e+02 
       9.328867308126e-01       4.293576611395e+02 
       1.096429059892e+00       3.658284582975e+02 
       1.354332099332e+00       2.920614794464e+02 
       1.702965184940e+00       2.224734579747e+02 
       2.143872659376e+00       1.633037890017e+02 
       2.698975665277e+00       1.154342685897e+02 
       3.397809050786e+00       7.877729584159e+01 
       4.277588158459e+00       5.215574776608e+01 
       5.385164433873e+00       3.367870240355e+01 
       6.779520352493e+00       2.131795121971e+01 
       8.534910451530e+00       1.328553802735e+01 
