# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.53491 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.206762812835e-01       4.550151219473e+02 
       4.239058707859e-01       4.476486914964e+02 
       4.271354605658e-01       4.405260458430e+02 
       4.303650506167e-01       4.336450287098e+02 
       4.335946409327e-01       4.269938878344e+02 
       4.368242315078e-01       4.205580723781e+02 
       4.400538223363e-01       4.143215618008e+02 
       4.432834134127e-01       4.082611133578e+02 
       4.465130047316e-01       4.023562134064e+02 
       4.497425962877e-01       3.965756293189e+02 
       4.529721880759e-01       3.908973002229e+02 
       4.562017800913e-01       3.852999720387e+02 
       4.594313723291e-01       3.797678998482e+02 
       4.626609647846e-01       3.742976257117e+02 
       4.658905574532e-01       3.688874774357e+02 
       4.691201503306e-01       3.635426714958e+02 
       4.723497434124e-01       3.582670354643e+02 
       4.755793366945e-01       3.530685912482e+02 
       4.788089301728e-01       3.479518626671e+02 
       4.820385238433e-01       3.429268283429e+02 
       4.852681177022e-01       3.380053705446e+02 
       4.884977117458e-01       3.331973964695e+02 
       4.917273059703e-01       3.285085960633e+02 
       4.949569003723e-01       3.239444881632e+02 
       4.981864949483e-01       3.195034767798e+02 
       5.014160896948e-01       3.151769998399e+02 
       5.046456846087e-01       3.109579678354e+02 
       5.078752796867e-01       3.068328259005e+02 
       5.111048749257e-01       3.027958056945e+02 
       5.143344703227e-01       2.988359584115e+02 
       5.175640658746e-01       2.949477760297e+02 
       5.207936615786e-01       2.911245654293e+02 
       5.240232574319e-01       2.873587037533e+02 
       5.272528534318e-01       2.836466965046e+02 
       5.304824495754e-01       2.799833155898e+02 
       5.337120458603e-01       2.763676603509e+02 
       5.369416422839e-01       2.728016519121e+02 
       5.401712388436e-01       2.692894842104e+02 
       5.434008355370e-01       2.658339845836e+02 
       5.466304323618e-01       2.624410135185e+02 
       5.498600293157e-01       2.591100885191e+02 
       5.530896263963e-01       2.558427551588e+02 
       5.563192236014e-01       2.526364089076e+02 
       5.595488209290e-01       2.494919301068e+02 
       5.627784183768e-01       2.464071466977e+02 
       5.660080159429e-01       2.433831570530e+02 
       5.692376136251e-01       2.404189381047e+02 
       5.966146836946e-01       2.172931229894e+02 
       6.275639394871e-01       1.945696952703e+02 
       6.633609294841e-01       1.723230915053e+02 
       7.060833127161e-01       1.501244718761e+02 
       7.593720182239e-01       1.276932657601e+02 
       8.301796462525e-01       1.045321408297e+02 
       9.328867308126e-01       8.022069893496e+01 
       1.096429059892e+00       5.532585061966e+01 
       1.354332099332e+00       3.375603967239e+01 
       1.702965184940e+00       1.956851033381e+01 
       2.143872659376e+00       1.121066612752e+01 
       2.698975665277e+00       6.370053884692e+00 
       3.397809050786e+00       3.592912907385e+00 
       4.277588158459e+00       2.012935930993e+00 
       5.385164433873e+00       1.120868387313e+00 
       6.779520352493e+00       6.206566535232e-01 
       8.534910451530e+00       3.419144975552e-01 
