# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  127       4.837333974669e-10       1.448943807412e-13      -5.325263569513e-12       0.000000000000e+00       5.291240691535e-12       8.750959772642e-13      -5.381783633960e-15 
  128       4.883941869123e-10       1.457032257033e-13      -5.390091908950e-12       0.000000000000e+00       5.177514024365e-12       8.605939644197e-13      -5.304355022864e-15 
  129       4.930585777803e-10       1.464498103344e-13      -5.452999303684e-12       0.000000000000e+00       5.067017465422e-12       8.464226327118e-13      -5.227063625720e-15 
  130       4.977254903893e-10       1.471333721513e-13      -5.513916909778e-12       0.000000000000e+00       4.959677334072e-12       8.325814792269e-13      -5.150137280433e-15 
  131       5.023937663958e-10       1.477532077957e-13      -5.572776325624e-12       0.000000000000e+00       4.855401066161e-12       8.190682264598e-13      -5.073811719353e-15 
  132       5.070621667952e-10       1.483086746279e-13      -5.629509627436e-12       0.000000000000e+00       4.754076734331e-12       8.058787733324e-13      -4.998330657891e-15 
  133       5.117293699218e-10       1.487991923202e-13      -5.684049404750e-12       0.000000000000e+00       4.655572568331e-12       7.930071462125e-13      -4.923945883131e-15 
  134       5.163939694499e-10       1.492242444503e-13      -5.736328795921e-12       0.000000000000e+00       4.559736475340e-12       7.804454499325e-13      -4.850917342451e-15 
  135       5.210544723934e-10       1.495833800947e-13      -5.786281523622e-12       0.000000000000e+00       4.466395560278e-12       7.681838188079e-13      -4.779513232134e-15 
  136       5.257092971072e-10       1.498762154220e-13      -5.833841930339e-12       0.000000000000e+00       4.375355646127e-12       7.562103676561e-13      -4.710010085985e-15 
  137       5.303569091946e-10       1.501024631270e-13      -5.878945631319e-12       0.000000000000e+00       4.286442498737e-12       7.445136073828e-13      -4.642625749914e-15 
  138       5.349962493367e-10       1.502620207960e-13      -5.921531474526e-12       0.000000000000e+00       4.199631331229e-12       7.330900775377e-13      -4.577310290304e-15 
  139       5.396263461497e-10       1.503548947494e-13      -5.961539851746e-12       0.000000000000e+00       4.114929853486e-12       7.219374143756e-13      -4.513933516308e-15 
  140       5.442461811355e-10       1.503811747749e-13      -5.998912138391e-12       0.000000000000e+00       4.032337557103e-12       7.110519241266e-13      -4.452349818275e-15 
  141       5.488546875575e-10       1.503410358981e-13      -6.033590732912e-12       0.000000000000e+00       3.951845500402e-12       7.004285496576e-13      -4.392397830385e-15 
  142       5.534507493167e-10       1.502347401521e-13      -6.065519096220e-12       0.000000000000e+00       3.873436093458e-12       6.900608371339e-13      -4.333900093278e-15 
  143       5.580331998269e-10       1.500626383483e-13      -6.094641791098e-12       0.000000000000e+00       3.797082883124e-12       6.799409026816e-13      -4.276662716681e-15 
  144       5.626008208911e-10       1.498251718459e-13      -6.120904521620e-12       0.000000000000e+00       3.722750338049e-12       6.700593990487e-13      -4.220475042042e-15 
  145       5.671523415768e-10       1.495228743225e-13      -6.144254172569e-12       0.000000000000e+00       3.650393633705e-12       6.604054822669e-13      -4.165109305156e-15 
  146       5.716864370921e-10       1.491563735438e-13      -6.164638848851e-12       0.000000000000e+00       3.579958437407e-12       6.509667783140e-13      -4.110320298800e-15 
  147       5.762017276612e-10       1.487263931341e-13      -6.182007914914e-12       0.000000000000e+00       3.511380693336e-12       6.417293497747e-13      -4.055845035360e-15 
  148       5.806967774005e-10       1.482337543461e-13      -6.196312034163e-12       0.000000000000e+00       3.444586407564e-12       6.326776625033e-13      -4.001402409462e-15 
  149       5.851700931940e-10       1.476793778314e-13      -6.207503208377e-12       0.000000000000e+00       3.379491433075e-12       6.237945522847e-13      -3.946692860599e-15 
  150       5.896201235695e-10       1.470642854103e-13      -6.215534817127e-12       0.000000000000e+00       3.316001254786e-12       6.150611914965e-13      -3.891398035767e-15 
  151       5.940452575741e-10       1.463896018420e-13      -6.220361657191e-12       0.000000000000e+00       3.254010774572e-12       6.064570557710e-13      -3.835180452090e-15 
  152       5.984438236498e-10       1.456565565949e-13      -6.221939981973e-12       0.000000000000e+00       3.193404096290e-12       5.979598906563e-13      -3.777683159455e-15 
  153       6.028142118671e-10       1.448664699446e-13      -6.220227788978e-12       0.000000000000e+00       3.134078502404e-12       5.895508390995e-13      -3.718615443623e-15 
  154       6.071552557722e-10       1.440207060900e-13      -6.215185629362e-12       0.000000000000e+00       3.076019343671e-12       5.812304302643e-13      -3.658019608028e-15 
  155       6.114658840491e-10       1.431207190345e-13      -6.206775949123e-12       0.000000000000e+00       3.019231732005e-12       5.730040200221e-13      -3.596028458104e-15 
  156       6.157449998598e-10       1.421680695427e-13      -6.194962888143e-12       0.000000000000e+00       2.963716883408e-12       5.648767566859e-13      -3.532781589136e-15 
  157       6.199914803488e-10       1.411644268310e-13      -6.179712320869e-12       0.000000000000e+00       2.909472026192e-12       5.568535739554e-13      -3.468425487094e-15 
  158       6.242041761463e-10       1.401115702571e-13      -6.160991896988e-12       0.000000000000e+00       2.856490309212e-12       5.489391838635e-13      -3.403113629462e-15 
  159       6.283819108731e-10       1.390113910113e-13      -6.138771082115e-12       0.000000000000e+00       2.804760710095e-12       5.411380697207e-13      -3.337006586067e-15 
  160       6.325234806441e-10       1.378658938059e-13      -6.113021198466e-12       0.000000000000e+00       2.754267943470e-12       5.334544790616e-13      -3.270272119909e-15 
  161       6.366276535724e-10       1.366771985662e-13      -6.083715465541e-12       0.000000000000e+00       2.704992369194e-12       5.258924165898e-13      -3.203085287989e-15 
  162       6.406931692735e-10       1.354475421204e-13      -6.050829040804e-12       0.000000000000e+00       2.656909900583e-12       5.184556371237e-13      -3.135628542142e-15 
  163       6.447187383694e-10       1.341792798900e-13      -6.014339060364e-12       0.000000000000e+00       2.609991912646e-12       5.111476385421e-13      -3.068091829864e-15 
  164       6.487030419921e-10       1.328748875804e-13      -5.974224679653e-12       0.000000000000e+00       2.564205150305e-12       5.039716547296e-13      -3.000672695144e-15 
  165       6.526447312883e-10       1.315369628706e-13      -5.930467114106e-12       0.000000000000e+00       2.519511636632e-12       4.969306485222e-13      -2.933576379290e-15 
  166       6.565424269230e-10       1.301682271042e-13      -5.883049679844e-12       0.000000000000e+00       2.475868581074e-12       4.900273046527e-13      -2.867015921762e-15 
