# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.53491 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.465130047316e-01       8.764918593302e+02 
       4.497425962877e-01       8.701601768473e+02 
       4.529721880759e-01       8.639206615781e+02 
       4.562017800913e-01       8.577566714262e+02 
       4.594313723291e-01       8.516560473254e+02 
       4.626609647846e-01       8.456162709341e+02 
       4.658905574532e-01       8.396362181142e+02 
       4.691201503306e-01       8.337200418553e+02 
       4.723497434124e-01       8.278707558915e+02 
       4.755793366945e-01       8.220944966334e+02 
       4.788089301728e-01       8.163946370628e+02 
       4.820385238433e-01       8.107785872006e+02 
       4.852681177022e-01       8.052550445109e+02 
       4.884977117458e-01       7.998310640395e+02 
       4.917273059703e-01       7.945104188447e+02 
       4.949569003723e-01       7.892966658715e+02 
       4.981864949483e-01       7.841880207908e+02 
       5.014160896948e-01       7.791775760885e+02 
       5.046456846087e-01       7.742595891790e+02 
       5.078752796867e-01       7.694236689552e+02 
       5.111048749257e-01       7.646652293220e+02 
       5.143344703227e-01       7.599759896969e+02 
       5.175640658746e-01       7.553517074583e+02 
       5.207936615786e-01       7.507873422763e+02 
       5.240232574319e-01       7.462772574770e+02 
       5.272528534318e-01       7.418188337966e+02 
       5.304824495754e-01       7.374082548519e+02 
       5.337120458603e-01       7.330448092143e+02 
       5.369416422839e-01       7.287297669005e+02 
       5.401712388436e-01       7.244659518514e+02 
       5.434008355370e-01       7.202551737088e+02 
       5.466304323618e-01       7.161012969813e+02 
       5.498600293157e-01       7.120037277463e+02 
       5.530896263963e-01       7.079632597919e+02 
       5.563192236014e-01       7.039778214578e+02 
       5.595488209290e-01       7.000477342891e+02 
       5.627784183768e-01       6.961712326996e+02 
       5.660080159429e-01       6.923487731522e+02 
       5.692376136251e-01       6.885793665368e+02 
       5.966146836946e-01       6.584558794826e+02 
       6.275639394871e-01       6.276536168317e+02 
       6.633609294841e-01       5.958200994055e+02 
       7.060833127161e-01       5.620669585067e+02 
       7.593720182239e-01       5.251925062951e+02 
       8.301796462525e-01       4.831008022347e+02 
       9.328867308126e-01       4.323256751711e+02 
       1.096429059892e+00       3.685169905932e+02 
       1.354332099332e+00       2.942682981718e+02 
       1.702965184940e+00       2.240923281513e+02 
       2.143872659376e+00       1.643831353110e+02 
       2.698975665277e+00       1.161030482108e+02 
       3.397809050786e+00       7.917132590281e+01 
       4.277588158459e+00       5.238047482875e+01 
       5.385164433873e+00       3.380473903766e+01 
       6.779520352493e+00       2.138846279834e+01 
       8.534910451530e+00       1.332533537528e+01 
