# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  109       4.909203893768e-10       1.091806815720e-13      -3.968668257281e-12       0.000000000000e+00       3.849480389833e-12       1.199666955525e-12      -5.776991836694e-15 
  110       4.959597179369e-10       1.108449022995e-13      -4.054656107812e-12       0.000000000000e+00       3.747306373640e-12       1.176266594943e-12      -5.729490080124e-15 
  111       5.010132280856e-10       1.124796206755e-13      -4.140086686829e-12       0.000000000000e+00       3.648221933184e-12       1.153444242803e-12      -5.679646323225e-15 
  112       5.060808615601e-10       1.140833844843e-13      -4.224890711513e-12       0.000000000000e+00       3.552235627753e-12       1.131204415148e-12      -5.627609057764e-15 
  113       5.111624734168e-10       1.156547521451e-13      -4.308998405382e-12       0.000000000000e+00       3.459337409736e-12       1.109547668329e-12      -5.573536178542e-15 
  114       5.162578284784e-10       1.171922937024e-13      -4.392339523635e-12       0.000000000000e+00       3.369498026497e-12       1.088470468070e-12      -5.517595142813e-15 
  115       5.213665977797e-10       1.186945918175e-13      -4.474843378491e-12       0.000000000000e+00       3.282668422267e-12       1.067965058525e-12      -5.459963129715e-15 
  116       5.264883550145e-10       1.201602427589e-13      -4.556438864531e-12       0.000000000000e+00       3.198779140023e-12       1.048019331343e-12      -5.400827199683e-15 
  117       5.316225729822e-10       1.215878573934e-13      -4.637054484042e-12       0.000000000000e+00       3.117739723374e-12       1.028616694724e-12      -5.340384453878e-15 
  118       5.367686200341e-10       1.229760621773e-13      -4.716618372357e-12       0.000000000000e+00       3.039438118446e-12       1.009735942488e-12      -5.278842193607e-15 
  119       5.419257565201e-10       1.243235001466e-13      -4.795058323195e-12       0.000000000000e+00       2.963740075764e-12       9.913511231283e-13      -5.216418079744e-15 
  120       5.470931312351e-10       1.256288319086e-13      -4.872301814007e-12       0.000000000000e+00       2.890488552138e-12       9.734314088759e-13      -5.153340292153e-15 
  121       5.522697778656e-10       1.268907366323e-13      -4.948276031312e-12       0.000000000000e+00       2.819503112545e-12       9.559409647610e-13      -5.089847689115e-15 
  122       5.574546114363e-10       1.281079130397e-13      -5.022907896045e-12       0.000000000000e+00       2.750579332018e-12       9.388388176733e-13      -5.026189966740e-15 
  123       5.626465875006e-10       1.292791267794e-13      -5.096124682226e-12       0.000000000000e+00       2.683531852601e-12       9.220882169688e-13      -4.962589294925e-15 
  124       5.678452079902e-10       1.304033565997e-13      -5.167855899483e-12       0.000000000000e+00       2.618330429196e-12       9.056862128423e-13      -4.899119895150e-15 
  125       5.730500670522e-10       1.314796669141e-13      -5.238031675567e-12       0.000000000000e+00       2.554978458498e-12       8.896372450319e-13      -4.835814864370e-15 
  126       5.782606912607e-10       1.325071642637e-13      -5.306582212084e-12       0.000000000000e+00       2.493470471782e-12       8.739438999464e-13      -4.772703317183e-15 
  127       5.834765373433e-10       1.334849986738e-13      -5.373437814513e-12       0.000000000000e+00       2.433791880251e-12       8.586068544045e-13      -4.709810242147e-15 
  128       5.886969899085e-10       1.344123650091e-13      -5.438528922210e-12       0.000000000000e+00       2.375918720395e-12       8.436248193730e-13      -4.647156358115e-15 
  129       5.939213591724e-10       1.352885043298e-13      -5.501786138423e-12       0.000000000000e+00       2.319817399343e-12       8.289944837062e-13      -4.584757970556e-15 
  130       5.991488786858e-10       1.361127052476e-13      -5.563140260295e-12       0.000000000000e+00       2.265444440216e-12       8.147104578846e-13      -4.522626827885e-15 
  131       6.043787030609e-10       1.368843052810e-13      -5.622522308880e-12       0.000000000000e+00       2.212746227486e-12       8.007652177534e-13      -4.460769977788e-15 
  132       6.096099056987e-10       1.376026922119e-13      -5.679863559152e-12       0.000000000000e+00       2.161658752327e-12       7.871490482621e-13      -4.399189623549e-15 
  133       6.148414765157e-10       1.382673054407e-13      -5.735095570012e-12       0.000000000000e+00       2.112107357970e-12       7.738499872026e-13      -4.337882980374e-15 
  134       6.200723196708e-10       1.388776373426e-13      -5.788150214299e-12       0.000000000000e+00       2.064006485057e-12       7.608537689485e-13      -4.276842131723e-15 
  135       6.253012512926e-10       1.394332346232e-13      -5.838959708803e-12       0.000000000000e+00       2.017259416998e-12       7.481437681939e-13      -4.216053885631e-15 
  136       6.305269972058e-10       1.399336996745e-13      -5.887456644269e-12       0.000000000000e+00       1.971758025321e-12       7.357009436919e-13      -4.155499631038e-15 
  137       6.357483321933e-10       1.403787294184e-13      -5.933574639475e-12       0.000000000000e+00       1.927405135390e-12       7.235082039449e-13      -4.095164939428e-15 
